"WordPress ID","File URL","Parent WordPress ID","Referenced content","Asset status","Verification status"
"1449","/wp-content/uploads/2019/12/2019122101.png","1448","pending-review","included","metadata-reviewed"
"1452","/wp-content/uploads/2019/12/2019122102.png","1448","pending-review","included","metadata-reviewed"
"1454","/wp-content/uploads/2019/12/2019122103.png","1448","pending-review","included","metadata-reviewed"
"1456","/wp-content/uploads/2019/12/2019122104.png","1448","pending-review","included","metadata-reviewed"
"1457","/wp-content/uploads/2019/12/2019122105.png","1448","pending-review","included","metadata-reviewed"
"1491","/wp-content/uploads/2020/02/2020-02-03-201134.png","1490","pending-review","included","metadata-reviewed"
"1525","/wp-content/uploads/2020/07/2020072801.png","1524","pending-review","included","metadata-reviewed"
"1601","/wp-content/uploads/2020/11/2020112501.png","1600","pending-review","included","metadata-reviewed"
"1622","/wp-content/uploads/2021/01/2021011301.png","1619","pending-review","included","metadata-reviewed"
"1623","/wp-content/uploads/2021/01/2021011302.png","1619","pending-review","included","metadata-reviewed"
"1624","/wp-content/uploads/2021/01/2021011303.png","1619","pending-review","included","metadata-reviewed"
"1627","/wp-content/uploads/2021/01/2021011304.png","1619","pending-review","included","metadata-reviewed"
"1722","/wp-content/uploads/2022/02/image.png","1721","pending-review","included","metadata-reviewed"
"1723","/wp-content/uploads/2022/02/image-1.png","1721","pending-review","included","metadata-reviewed"
"1724","/wp-content/uploads/2022/02/image-2.png","1721","pending-review","included","metadata-reviewed"
"1725","/wp-content/uploads/2022/02/image-3.png","1721","pending-review","included","metadata-reviewed"
"1739","/wp-content/uploads/2022/05/2022050701.png","1738","pending-review","included","metadata-reviewed"
"1741","/wp-content/uploads/2022/05/2022050702-e1651850794728.png","1738","pending-review","included","metadata-reviewed"
"1848","/wp-content/uploads/2024/02/image.png","1350","pending-review","included","metadata-reviewed"
"1849","/wp-content/uploads/2024/02/image-1.png","1350","pending-review","included","metadata-reviewed"
"1855","/wp-content/uploads/2024/03/image.png","1854","pending-review","included","metadata-reviewed"
